#period	period time	calc time
1	3991	1744
2	4247	1500
3	3998	2249
4	4245	2000
5	3997	2250
6	3996	2009
7	3999	2252
8	4747	2251
9	2998	2251
10	4247	2497
11	3748	2500
12	4249	2249
13	3994	2002
14	6247	2001
15	2997	2002
16	4747	2502
17	3248	2253
18	2998	2501
19	3748	2000
20	4255	1994
21	3740	1999
22	6245	2250
23	3247	2001
24	2998	2001
25	3250	2750
26	4495	2000
27	3747	1751
28	3998	2000
29	3997	2000
30	4248	2012
31	5995	1999
32	2747	2500
33	3497	2000
34	3246	2498
35	4496	2001
36	6001	2249
37	2995	2251
38	2998	2251
39	3502	2496
40	4495	1997
41	5993	2251
42	2998	2251
43	2998	2252
44	3500	2498
45	4495	2000
46	5996	2251
47	2998	2251
48	3000	2498
49	3497	2499
50	4495	2000
51	5996	1998
52	2989	2000
53	2998	2249
54	3517	2501
55	4487	2000
56	3998	2000
57	3748	2494
58	3998	2255
59	3995	2502
60	4249	2250
61	3995	2002
62	3749	2505
63	3998	2248
64	3996	2510
65	4247	2250
66	3750	2504
67	4244	2250
68	4002	1996
69	3991	2000
70	3994	2511
71	3752	2251
72	3997	2757
73	3996	2500
74	3997	2507
75	4000	2751
76	3994	2508
77	4248	2250
78	3995	2254
79	3999	2252
80	3993	2507
81	3752	2499
82	4239	2265
83	4005	2250
84	4003	2245
85	3990	2500
86	3748	2507
87	4247	2261
88	3989	2017
89	3996	2260
90	4000	2512
91	3754	2500
92	4241	2012
93	4005	2249
94	3992	2009
95	4001	2500
96	3746	2508
97	4248	2249
98	3991	2013
99	4004	2000
100	3991	2512
101	3751	2502
102	4245	2258
103	4001	2001
104	3991	2013
105	4005	2499
106	3746	2502
107	4247	2250
108	3989	2017
109	6005	2500
110	3496	2251
111	3000	1998
112	3246	2262
113	4498	2000
114	3746	2001
115	3997	2502
116	3748	2499
117	4247	2250
118	4247	1999
119	3747	2004
120	6248	2249
121	3242	2004
122	3006	2247
123	3743	1500
124	3750	1498
